,Un misil en mi placard,Te hacen falta vitaminas,Mi novia tiene biceps,Trátame suavemente,Disco Eterno,Ni un segundo,Afrodisíacos,Dietético,El tiempo es dinero,Por qué no puedo ser del jet set?,Cuando pase el temblor,Nada personal,Juegos de seducción,Imágenes retro,Danza rota,Estoy azulado,Observándonos,Ecos,Si no fuera por,Sin sobresaltos,En camino,Final caja negra,Prófugos,Persiana americana,Signos,El rito,No existes,Día común,En la ciudad de la furia,Lo que sangra,Corazón delator,Sobredosis de TV,En el borde,Picnic en el 4to B,El ritmo de tus ojos,Terapia de amor intensiva,Los languidecientes
Un misil en mi placard,0.9999999999999997,0.20965696734438366,0.3380617018914066,0.0,0.253546276418555,0.14285714285714282,0.0,0.0,0.0,0.11952286093343936,0.0,0.0,0.0,0.0,0.0,0.0,0.07273929674533079,0.0,0.0,0.23904572186687872,0.0,0.13363062095621217,0.0,0.0,0.0,0.08247860988423225,0.0,0.04879500364742665,0.0,0.13363062095621217,0.07412493166611012,0.2519763153394848,0.0,0.0,0.0,0.0,0.0
Te hacen falta vitaminas,0.20965696734438366,1.0,0.0,0.0,0.0,0.0,0.0,0.17541160386140586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16012815380508716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11322770341445959,0.0,0.24209101306752098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mi novia tiene biceps,0.3380617018914066,0.0,0.9999999999999999,0.18257418583505539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3721042037676254,0.0,0.0,0.43033148291193524,0.0,0.0,0.282842712474619,0.07453559924999298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15811388300841894,0.08770580193070293,0.2981423969999719,0.0,0.0,0.0,0.0,0.0
Trátame suavemente,0.0,0.0,0.18257418583505539,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.25819888974716115,0.3333333333333334,0.0,0.14433756729740646,0.0,0.0,0.0,0.3142696805273545,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666667,0.0,0.0,0.0,0.0,0.4140393356054126,0.14433756729740646,0.0,0.0,0.0,0.0,0.24077170617153845,0.0,0.0
Disco Eterno,0.253546276418555,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.21213203435596426,0.0,0.0,0.0,0.0,0.2738612787525831,0.0,0.0,0.12909944487358058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1690308509457033,0.0,0.0,0.0
Ni un segundo,0.14285714285714282,0.0,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0.5832118435198043,0.0,0.0,0.0657951694959769,0.0,0.0,0.0,0.2182178902359924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1543033499620919,0.0,0.0,0.0,0.0,0.0,0.26726124191242434,0.07412493166611012,0.0,0.0,0.0,0.0,0.0,0.14285714285714282
Afrodisíacos,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.2886751345948129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2721655269759087,0.0,0.0,0.0,0.0,0.0,0.0,0.10540925533894598,0.0,0.2886751345948129,0.6405126152203486,0.0,0.0,0.0,0.12038585308576923,0.1516196087157807,0.0
Dietético,0.0,0.17541160386140586,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.0,0.0,0.22360679774997896,0.0,0.0,0.1825741858350554,0.12171612389003693,0.0,0.0,0.0,0.10540925533894598,0.0,0.282842712474619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.282842712474619,0.0,0.0,0.5872202195147036,0.0
El tiempo es dinero,0.0,0.0,0.0,0.0,0.0,0.5832118435198043,0.0,0.0,0.9999999999999999,0.09759000729485333,0.12598815766974242,0.0,0.0,0.08559209850218259,0.0,0.2672612419124244,0.0,0.08908708063747481,0.10910894511799618,0.0,0.0,0.0,0.20701966780270625,0.0,0.0,0.06734350297014739,0.0,0.05976143046671968,0.0,0.27277236279499045,0.0,0.10286889997472794,0.0,0.0,0.045501575519329006,0.0,0.23328473740792172
Por qué no puedo ser del jet set?,0.11952286093343936,0.0,0.0,0.25819888974716115,0.21213203435596426,0.0,0.0,0.2,0.09759000729485333,1.0,0.25819888974716115,0.0,0.22360679774997896,0.0,0.0,0.0,0.060858061945018464,0.3651483716701108,0.0,0.0,0.05270462766947299,0.0,0.1414213562373095,0.0,0.0,0.2760262237369417,0.0,0.0,0.0,0.0,0.0,0.4216370213557839,0.1414213562373095,0.0,0.0,0.2936101097573518,0.0
Cuando pase el temblor,0.0,0.0,0.0,0.3333333333333334,0.0,0.0,0.0,0.0,0.12598815766974242,0.25819888974716115,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.2357022603955159,0.0,0.0,0.0,0.0,0.0,0.1666666666666667,0.0,0.17817416127494962,0.0,0.0,0.3450327796711772,0.14433756729740646,0.24019223070763074,0.2721655269759087,0.0,0.0,0.0,0.0,0.0
Nada personal,0.0,0.0,0.0,0.0,0.0,0.0657951694959769,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1519474352795173,0.0,0.0,0.0,0.49236596391733095,0.0,0.0,0.0,0.0,0.0,0.0,0.0657951694959769
Juegos de seducción,0.0,0.0,0.0,0.14433756729740646,0.0,0.0,0.2886751345948129,0.22360679774997896,0.0,0.22360679774997896,0.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17677669529663687,0.12499999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12499999999999997,0.34668762264076824,0.1178511301977579,0.0,0.0,0.052128603514268686,0.13130643285972254,0.0
Imágenes retro,0.0,0.0,0.3721042037676254,0.0,0.0,0.0,0.0,0.0,0.08559209850218259,0.0,0.0,0.0,0.0,1.0,0.0,0.08006407690254358,0.0,0.16012815380508716,0.0,0.0,0.0,0.0,0.0,0.11322770341445959,0.1386750490563073,0.0,0.0,0.2506402059138015,0.0,0.0,0.0,0.0,0.0,0.10482848367219183,0.0,0.0,0.0
Danza rota,0.0,0.0,0.0,0.0,0.2738612787525831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.2886751345948129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08006407690254358,0.0,0.36514837167011077,0.1543033499620919,0.36115755925730764,0.07580980435789035,0.0
