archivo,titulo,autor_fuente,fecha,categoria,palabras_aprox
01_un_misil_en_mi_placard.txt,Un misil en mi placard,Soda Stereo,1984-01-01,rock_argentino,119
02_te_hacen_falta_vitaminas.txt,Te hacen falta vitaminas,Soda Stereo,1984-01-01,rock_argentino,128
03_mi_novia_tiene_biceps.txt,Mi novia tiene biceps,Soda Stereo,1984-01-01,rock_argentino,155
04_trátame_suavemente.txt,Trátame suavemente,Soda Stereo,1984-01-01,rock_argentino,130
05_disco_eterno.txt,Disco Eterno,Soda Stereo,1984-01-01,rock_argentino,106
06_ni_un_segundo.txt,Ni un segundo,Soda Stereo,1984-01-01,rock_argentino,106
07_afrodisíacos.txt,Afrodisíacos,Soda Stereo,1984-01-01,rock_argentino,91
08_dietetico.txt,Dietético,Soda Stereo,1984-01-01,rock_argentino,93
09_el_tiempo_es_dinero.txt,El tiempo es dinero,Soda Stereo,1984-01-01,rock_argentino,106
10_por_que_no_puedo_ser_del_jet_set.txt,Por qué no puedo ser del jet set?,Soda Stereo,1984-01-01,rock_argentino,161
11_cuando_pase_el_temblor.txt,Cuando pase el temblor,Soda Stereo,1985-01-01,rock_argentino,126
12_nada_personal.txt,Nada personal,Soda Stereo,1985-01-01,rock_argentino,81
13_juegos_de_seduccion.txt,Juegos de seducción,Soda Stereo,1985-01-01,rock_argentino,121
14_imágenes_retro.txt,Imágenes retro,Soda Stereo,1985-01-01,rock_argentino,115
15_danza_rota.txt,Danza rota,Soda Stereo,1985-01-01,rock_argentino,110
16_estoy_azulado.txt,Estoy azulado,Soda Stereo,1985-01-01,rock_argentino,78
17_observándonos.txt,Observándonos,Soda Stereo,1985-01-01,rock_argentino,97
18_ecos.txt,Ecos,Soda Stereo,1985-01-01,rock_argentino,100
19_si_no_fuera_por.txt,Si no fuera por,Soda Stereo,1985-01-01,rock_argentino,136
20_sin_sobresaltos.txt,Sin sobresaltos,Soda Stereo,1986-01-01,rock_argentino,103
21_en_camino.txt,En camino,Soda Stereo,1986-01-01,rock_argentino,120
22_final_caja_negra.txt,Final caja negra,Soda Stereo,1986-01-01,rock_argentino,92
23_profugos.txt,Prófugos,Soda Stereo,1986-01-01,rock_argentino,96
24_persiana_americana.txt,Persiana americana,Soda Stereo,1986-01-01,rock_argentino,97
25_signos.txt,Signos,Soda Stereo,1986-01-01,rock_argentino,98
26_el_rito.txt,El rito,Soda Stereo,1986-01-01,rock_argentino,115
27_no_existes.txt,No existes,Soda Stereo,1986-01-01,rock_argentino,97
28_día_común.txt,Día común,Soda Stereo,1988-01-01,rock_argentino,108
29_en_la_ciudad_de_la_furia.txt,En la ciudad de la furia,Soda Stereo,1988-01-01,rock_argentino,127
30_lo_que_sangra.txt,Lo que sangra,Soda Stereo,1988-01-01,rock_argentino,119
31_corazon_delator.txt,Corazón delator,Soda Stereo,1988-01-01,rock_argentino,98
32_sobredosis_de_tv.txt,Sobredosis de TV,Soda Stereo,1988-01-01,rock_argentino,99
33_en_el_borde.txt,En el borde,Soda Stereo,1988-01-01,rock_argentino,119
34_picnic_en_el_4to_b.txt,Picnic en el 4to B,Soda Stereo,1988-01-01,rock_argentino,119
35_el_ritmo_de_tus_ojos.txt,El ritmo de tus ojos,Soda Stereo,1988-01-01,rock_argentino,121
36_terapia_de_amor_intensiva.txt,Terapia de amor intensiva,Soda Stereo,1988-01-01,rock_argentino,122
37_los_languidecientes.txt,Los languidecientes,Soda Stereo,1988-01-01,rock_argentino,81
