,Un misil en mi placard,Te hacen falta vitaminas,Mi novia tiene biceps,Trátame suavemente,Disco Eterno,Ni un segundo,Afrodisíacos,Dietético,El tiempo es dinero,Por qué no puedo ser del jet set?,Cuando pase el temblor,Nada personal,Juegos de seducción,Imágenes retro,Danza rota,Estoy azulado,Observándonos,Ecos,Si no fuera por,Sin sobresaltos,En camino,Final caja negra,Prófugos,Persiana americana,Signos,El rito,No existes,Día común,En la ciudad de la furia,Lo que sangra,Corazón delator,Sobredosis de TV,En el borde,Picnic en el 4to B,El ritmo de tus ojos,Terapia de amor intensiva,Los languidecientes
Un misil en mi placard,0.99999994,0.9320073,0.96962076,0.9611092,0.9206226,0.8681844,0.9061635,0.899167,0.90782106,0.9492485,0.9437082,0.8196801,0.9606487,0.9422008,0.9106254,0.9398409,0.9292935,0.91923004,0.94875443,0.91362417,0.933191,0.8912277,0.9274798,0.90134174,0.9320277,0.94653004,0.90129465,0.9468487,0.9161127,0.9171225,0.95625335,0.8739167,0.92543715,0.8966511,0.9187971,0.87802255,0.8776957
Te hacen falta vitaminas,0.9320073,1.0,0.9285071,0.902327,0.8948219,0.91826844,0.96788085,0.9526956,0.90470636,0.9262287,0.9476567,0.8670591,0.9430509,0.92914283,0.9119046,0.9422967,0.9262324,0.9457312,0.9444305,0.9559372,0.9415068,0.91067994,0.9266723,0.91098267,0.9519871,0.93517846,0.9494628,0.90455943,0.93419456,0.93600935,0.9406822,0.91293865,0.9410083,0.9211232,0.9123739,0.86626357,0.92609775
Mi novia tiene biceps,0.96962076,0.9285071,0.99999934,0.9616745,0.92383933,0.87973213,0.90896547,0.90260494,0.9207207,0.93943167,0.9527111,0.84994596,0.9741934,0.9339597,0.9145442,0.93737704,0.93818516,0.9294729,0.96060675,0.94189566,0.93219334,0.88945186,0.9369041,0.88907295,0.92861325,0.944471,0.91352415,0.955163,0.9353568,0.9245013,0.9595687,0.87658185,0.92250943,0.89667237,0.9174996,0.906875,0.88612443
Trátame suavemente,0.9611092,0.902327,0.9616745,1.0,0.8977912,0.8423927,0.87937015,0.8751843,0.89855343,0.9373836,0.9280561,0.82650256,0.95572746,0.89821494,0.90419275,0.93622035,0.9318898,0.8961532,0.9437202,0.91386956,0.9018848,0.89094985,0.94353086,0.9079233,0.9076546,0.9275391,0.8930703,0.94013137,0.9303138,0.92468965,0.9377742,0.8555661,0.9004032,0.8937782,0.900419,0.8974631,0.8827735
Disco Eterno,0.9206226,0.8948219,0.92383933,0.8977912,0.99999994,0.87373614,0.90182465,0.9057124,0.8887064,0.9073626,0.91325545,0.8797278,0.9121284,0.9344074,0.9190935,0.92371523,0.9166417,0.9134283,0.9082514,0.9123818,0.9130942,0.88940364,0.8865512,0.8992776,0.8763108,0.9150935,0.9107822,0.906754,0.9092791,0.87989247,0.9280722,0.8443145,0.9017571,0.90707207,0.91858137,0.8902338,0.856044
Ni un segundo,0.8681844,0.91826844,0.87973213,0.8423927,0.87373614,1.0000002,0.9091823,0.92547065,0.93265826,0.92710596,0.91487503,0.91071844,0.90116036,0.8813928,0.88628334,0.92702436,0.9286185,0.9002342,0.91404223,0.9228253,0.9418091,0.9073254,0.90718585,0.8849026,0.9254462,0.901606,0.912019,0.87331283,0.92240113,0.9347612,0.9251228,0.90818214,0.9437058,0.904953,0.90889335,0.89775544,0.8983678
Afrodisíacos,0.9061635,0.96788085,0.90896547,0.87937015,0.90182465,0.9091823,0.99999994,0.9540077,0.87931085,0.90504265,0.92440826,0.89034915,0.9280079,0.9200896,0.9093335,0.92841697,0.92614645,0.953743,0.916151,0.9429213,0.92717403,0.91839504,0.918313,0.90602636,0.934151,0.9246428,0.958096,0.8870749,0.92554116,0.9187516,0.93416035,0.910847,0.92419636,0.92559254,0.8952511,0.8755185,0.9137812
Dietético,0.899167,0.9526956,0.90260494,0.8751843,0.9057124,0.92547065,0.9540077,0.99999994,0.8950718,0.9156842,0.9224268,0.8782252,0.9180535,0.9104807,0.9122898,0.93462443,0.91571814,0.92988867,0.9189791,0.9300983,0.93744844,0.9037033,0.9037176,0.8931226,0.9303817,0.9278553,0.92432004,0.88692737,0.91976994,0.92704374,0.93961644,0.8875395,0.9362003,0.90090185,0.9121473,0.89809966,0.8864539
El tiempo es dinero,0.90782106,0.90470636,0.9207207,0.89855343,0.8887064,0.93265826,0.87931085,0.8950718,0.99999976,0.9242884,0.9287918,0.8823591,0.91872406,0.8830417,0.8851252,0.9245827,0.93566936,0.895233,0.93067545,0.9331218,0.93953973,0.898239,0.92347574,0.88652545,0.9094637,0.9219281,0.89605165,0.9179402,0.92690146,0.93006676,0.9298609,0.88788724,0.91813076,0.8888425,0.91691035,0.91468114,0.9052676
Por qué no puedo ser del jet set?,0.9492485,0.9262287,0.93943167,0.9373836,0.9073626,0.92710596,0.90504265,0.9156842,0.9242884,1.0000001,0.95006835,0.89563984,0.9420398,0.92611736,0.91622806,0.9692685,0.9459944,0.9133844,0.9516797,0.9274431,0.94645494,0.92219305,0.9484143,0.931164,0.9542185,0.9392019,0.9108823,0.9232288,0.9385888,0.95701367,0.9489441,0.9174418,0.95703405,0.92636746,0.9319923,0.9100421,0.9118108
