archivo,titulo,album,año,longitud_caracteres,total_reemplazos,caracteres_encontrados
01_un_misil_en_mi_placard.txt,Un misil en mi placard,N/A,1984,553,12,"á, é, í, ó"
02_te_hacen_falta_vitaminas.txt,Te hacen falta vitaminas,N/A,1984,683,12,"á, é, í"
03_mi_novia_tiene_biceps.txt,Mi novia tiene biceps,N/A,1984,776,22,"á, í, ñ"
04_trátame_suavemente.txt,Trátame suavemente,N/A,1984,695,10,"á, ñ"
05_disco_eterno.txt,Disco Eterno,N/A,1984,519,4,ú
06_ni_un_segundo.txt,Ni un segundo,N/A,1984,521,8,é
07_afrodisíacos.txt,Afrodisíacos,N/A,1984,532,18,"á, í, ó, ú"
08_dietetico.txt,Dietético,N/A,1984,503,14,"é, í, ó"
09_el_tiempo_es_dinero.txt,El tiempo es dinero,N/A,1984,512,2,"á, ó"
10_por_que_no_puedo_ser_del_jet_set.txt,Por qué no puedo ser del jet set?,N/A,1984,718,14,"é, í"
11_cuando_pase_el_temblor.txt,Cuando pase el temblor,N/A,1985,641,5,"á, í, ñ"
12_nada_personal.txt,Nada personal,N/A,1985,477,2,"á, í"
13_juegos_de_seduccion.txt,Juegos de seducción,N/A,1985,623,21,"á, é, í, ó, ñ"
14_imágenes_retro.txt,Imágenes retro,N/A,1985,628,19,"á, é, í"
15_danza_rota.txt,Danza rota,N/A,1985,526,7,"á, ú"
16_estoy_azulado.txt,Estoy azulado,N/A,1985,449,3,"í, ñ"
17_observándonos.txt,Observándonos,N/A,1985,594,20,"á, í, ó"
18_ecos.txt,Ecos,N/A,1985,504,3,"í, ú"
19_si_no_fuera_por.txt,Si no fuera por,N/A,1985,649,5,"á, í"
20_sin_sobresaltos.txt,Sin sobresaltos,N/A,1986,630,6,"á, ñ"
21_en_camino.txt,En camino,N/A,1986,595,12,"á, é, í, ó, ñ"
22_final_caja_negra.txt,Final caja negra,N/A,1986,527,5,"é, ó, ú"
23_profugos.txt,Prófugos,N/A,1986,561,14,"á, ó"
24_persiana_americana.txt,Persiana americana,N/A,1986,569,3,"á, í, ñ"
25_signos.txt,Signos,N/A,1986,506,11,"á, é, í, ó, ñ"
26_el_rito.txt,El rito,N/A,1986,575,2,ó
27_no_existes.txt,No existes,N/A,1986,545,10,"é, í"
28_día_común.txt,Día común,N/A,1988,556,25,"í, ú"
29_en_la_ciudad_de_la_furia.txt,En la ciudad de la furia,N/A,1988,598,1,á
30_lo_que_sangra.txt,Lo que sangra,N/A,1988,601,6,"á, é, í, ó, ú"
31_corazon_delator.txt,Corazón delator,N/A,1988,550,13,"é, í, ó, ú"
32_sobredosis_de_tv.txt,Sobredosis de TV,N/A,1988,560,10,"á, é"
33_en_el_borde.txt,En el borde,N/A,1988,582,16,"á, é, í, ó"
34_picnic_en_el_4to_b.txt,Picnic en el 4to B,N/A,1988,579,11,"á, é, í, ú"
35_el_ritmo_de_tus_ojos.txt,El ritmo de tus ojos,N/A,1988,566,9,"á, ó, ñ"
36_terapia_de_amor_intensiva.txt,Terapia de amor intensiva,N/A,1988,727,10,"é, í, ó, ú, ñ"
37_los_languidecientes.txt,Los languidecientes,N/A,1988,596,9,"é, ó, ú, ñ"
