archivo,titulo,album,año,palabras_antes,palabras_despues,reduccion_%
01_un_misil_en_mi_placard.txt,Un misil en mi placard,N/A,1984,119,119,0.0
02_te_hacen_falta_vitaminas.txt,Te hacen falta vitaminas,N/A,1984,128,128,0.0
03_mi_novia_tiene_biceps.txt,Mi novia tiene biceps,N/A,1984,155,155,0.0
04_trátame_suavemente.txt,Trátame suavemente,N/A,1984,130,130,0.0
05_disco_eterno.txt,Disco Eterno,N/A,1984,106,106,0.0
06_ni_un_segundo.txt,Ni un segundo,N/A,1984,106,106,0.0
07_afrodisíacos.txt,Afrodisíacos,N/A,1984,91,91,0.0
08_dietetico.txt,Dietético,N/A,1984,93,93,0.0
09_el_tiempo_es_dinero.txt,El tiempo es dinero,N/A,1984,106,106,0.0
10_por_que_no_puedo_ser_del_jet_set.txt,Por qué no puedo ser del jet set?,N/A,1984,161,161,0.0
11_cuando_pase_el_temblor.txt,Cuando pase el temblor,N/A,1985,126,126,0.0
12_nada_personal.txt,Nada personal,N/A,1985,81,81,0.0
13_juegos_de_seduccion.txt,Juegos de seducción,N/A,1985,121,121,0.0
14_imágenes_retro.txt,Imágenes retro,N/A,1985,115,115,0.0
15_danza_rota.txt,Danza rota,N/A,1985,110,110,0.0
16_estoy_azulado.txt,Estoy azulado,N/A,1985,78,78,0.0
17_observándonos.txt,Observándonos,N/A,1985,97,97,0.0
18_ecos.txt,Ecos,N/A,1985,100,100,0.0
19_si_no_fuera_por.txt,Si no fuera por,N/A,1985,136,136,0.0
20_sin_sobresaltos.txt,Sin sobresaltos,N/A,1986,103,103,0.0
21_en_camino.txt,En camino,N/A,1986,120,120,0.0
22_final_caja_negra.txt,Final caja negra,N/A,1986,92,92,0.0
23_profugos.txt,Prófugos,N/A,1986,96,96,0.0
24_persiana_americana.txt,Persiana americana,N/A,1986,97,97,0.0
25_signos.txt,Signos,N/A,1986,98,98,0.0
26_el_rito.txt,El rito,N/A,1986,115,115,0.0
27_no_existes.txt,No existes,N/A,1986,97,97,0.0
28_día_común.txt,Día común,N/A,1988,108,108,0.0
29_en_la_ciudad_de_la_furia.txt,En la ciudad de la furia,N/A,1988,127,127,0.0
30_lo_que_sangra.txt,Lo que sangra,N/A,1988,119,119,0.0
31_corazon_delator.txt,Corazón delator,N/A,1988,98,98,0.0
32_sobredosis_de_tv.txt,Sobredosis de TV,N/A,1988,99,99,0.0
33_en_el_borde.txt,En el borde,N/A,1988,119,119,0.0
34_picnic_en_el_4to_b.txt,Picnic en el 4to B,N/A,1988,119,119,0.0
35_el_ritmo_de_tus_ojos.txt,El ritmo de tus ojos,N/A,1988,121,121,0.0
36_terapia_de_amor_intensiva.txt,Terapia de amor intensiva,N/A,1988,122,122,0.0
37_los_languidecientes.txt,Los languidecientes,N/A,1988,81,81,0.0
