archivo,titulo,album,año,tokens_originales,tokens_unicos_originales,tokens_filtrados,tokens_unicos_filtrados,stopwords_removidas,porcentaje_stopwords,reduccion_vocabulario
01_un_misil_en_mi_placard.txt,Un misil en mi placard,N/A,1984,53,37,18,15,35,66.0377358490566,59.45945945945946
02_te_hacen_falta_vitaminas.txt,Te hacen falta vitaminas,N/A,1984,53,29,23,14,30,56.60377358490566,51.724137931034484
03_mi_novia_tiene_biceps.txt,Mi novia tiene biceps,N/A,1984,53,37,24,19,29,54.71698113207547,48.64864864864865
04_trátame_suavemente.txt,Trátame suavemente,N/A,1984,53,46,25,22,28,52.83018867924528,52.17391304347826
05_disco_eterno.txt,Disco Eterno,N/A,1984,53,25,28,14,25,47.16981132075472,44.0
06_ni_un_segundo.txt,Ni un segundo,N/A,1984,53,20,22,10,31,58.490566037735846,50.0
07_afrodisíacos.txt,Afrodisíacos,N/A,1984,53,32,28,19,25,47.16981132075472,40.625
08_dietetico.txt,Dietético,N/A,1984,53,26,25,14,28,52.83018867924528,46.15384615384615
09_el_tiempo_es_dinero.txt,El tiempo es dinero,N/A,1984,53,28,26,14,27,50.943396226415096,50.0
10_por_que_no_puedo_ser_del_jet_set.txt,Por qué no puedo ser del jet set?,N/A,1984,53,31,20,16,33,62.264150943396224,48.38709677419355
11_cuando_pase_el_temblor.txt,Cuando pase el temblor,N/A,1985,53,35,26,21,27,50.943396226415096,40.0
12_nada_personal.txt,Nada personal,N/A,1985,53,25,26,16,27,50.943396226415096,36.0
13_juegos_de_seduccion.txt,Juegos de seducción,N/A,1985,53,39,26,22,27,50.943396226415096,43.58974358974359
14_imágenes_retro.txt,Imágenes retro,N/A,1985,53,30,29,18,24,45.28301886792453,40.0
15_danza_rota.txt,Danza rota,N/A,1985,53,28,30,16,23,43.39622641509434,42.857142857142854
16_estoy_azulado.txt,Estoy azulado,N/A,1985,53,35,24,20,29,54.71698113207547,42.857142857142854
17_observándonos.txt,Observándonos,N/A,1985,53,34,29,21,24,45.28301886792453,38.23529411764706
18_ecos.txt,Ecos,N/A,1985,53,32,26,19,27,50.943396226415096,40.625
19_si_no_fuera_por.txt,Si no fuera por,N/A,1985,53,29,15,15,38,71.69811320754717,48.275862068965516
20_sin_sobresaltos.txt,Sin sobresaltos,N/A,1986,53,30,29,17,24,45.28301886792453,43.333333333333336
21_en_camino.txt,En camino,N/A,1986,53,27,21,14,32,60.37735849056604,48.148148148148145
22_final_caja_negra.txt,Final caja negra,N/A,1986,53,34,33,22,20,37.735849056603776,35.294117647058826
23_profugos.txt,Prófugos,N/A,1986,53,40,28,22,25,47.16981132075472,45.0
24_persiana_americana.txt,Persiana americana,N/A,1986,53,35,30,22,23,43.39622641509434,37.142857142857146
25_signos.txt,Signos,N/A,1986,53,33,24,17,29,54.71698113207547,48.484848484848484
26_el_rito.txt,El rito,N/A,1986,53,32,25,17,28,52.83018867924528,46.875
27_no_existes.txt,No existes,N/A,1986,53,29,25,17,28,52.83018867924528,41.37931034482759
28_día_común.txt,Día común,N/A,1988,53,33,28,16,25,47.16981132075472,51.515151515151516
29_en_la_ciudad_de_la_furia.txt,En la ciudad de la furia,N/A,1988,53,24,22,10,31,58.490566037735846,58.333333333333336
30_lo_que_sangra.txt,Lo que sangra,N/A,1988,53,30,23,15,30,56.60377358490566,50.0
31_corazon_delator.txt,Corazón delator,N/A,1988,53,33,28,19,25,47.16981132075472,42.42424242424242
32_sobredosis_de_tv.txt,Sobredosis de TV,N/A,1988,53,33,31,21,22,41.509433962264154,36.36363636363637
33_en_el_borde.txt,En el borde,N/A,1988,53,29,20,16,33,62.264150943396224,44.827586206896555
34_picnic_en_el_4to_b.txt,Picnic en el 4to B,N/A,1988,53,33,27,20,26,49.056603773584904,39.39393939393939
35_el_ritmo_de_tus_ojos.txt,El ritmo de tus ojos,N/A,1988,53,28,23,15,30,56.60377358490566,46.42857142857143
36_terapia_de_amor_intensiva.txt,Terapia de amor intensiva,N/A,1988,53,31,32,20,21,39.62264150943396,35.483870967741936
37_los_languidecientes.txt,Los languidecientes,N/A,1988,53,36,31,23,22,41.509433962264154,36.11111111111111
