titulo,tokens,vocab_original,vocab_lemma,vocab_stem,reduccion_lemma_%,reduccion_stem_%
Un misil en mi placard,119,40,37,40,7.5,0.0
Te hacen falta vitaminas,128,34,35,33,-2.94,2.94
Mi novia tiene biceps,155,71,62,69,12.68,2.82
Trátame suavemente,130,64,55,64,14.06,0.0
Disco Eterno,106,24,24,24,0.0,0.0
Ni un segundo,106,23,23,22,0.0,4.35
Afrodisíacos,91,35,34,34,2.86,2.86
Dietético,93,30,29,30,3.33,0.0
El tiempo es dinero,106,34,32,34,5.88,0.0
Por qué no puedo ser del jet set?,161,58,54,57,6.9,1.72
Cuando pase el temblor,126,49,48,49,2.04,0.0
Nada personal,81,22,22,22,0.0,0.0
Juegos de seducción,121,60,54,57,10.0,5.0
Imágenes retro,115,47,44,46,6.38,2.13
Danza rota,110,33,33,33,0.0,0.0
Estoy azulado,78,38,36,38,5.26,0.0
Observándonos,97,48,46,47,4.17,2.08
Ecos,100,48,45,48,6.25,0.0
Si no fuera por,136,46,40,44,13.04,4.35
Sin sobresaltos,103,41,40,41,2.44,0.0
En camino,120,49,47,46,4.08,6.12
Final caja negra,92,45,42,43,6.67,4.44
Prófugos,96,54,48,53,11.11,1.85
Persiana americana,97,54,52,52,3.7,3.7
Signos,98,50,47,48,6.0,4.0
El rito,115,49,44,47,10.2,4.08
No existes,97,46,42,42,8.7,8.7
Día común,108,53,51,52,3.77,1.89
En la ciudad de la furia,127,26,25,26,3.85,0.0
Lo que sangra,119,55,54,55,1.82,0.0
Corazón delator,98,50,48,49,4.0,2.0
Sobredosis de TV,99,44,44,43,0.0,2.27
En el borde,119,48,47,48,2.08,0.0
Picnic en el 4to B,119,54,50,53,7.41,1.85
El ritmo de tus ojos,121,41,40,41,2.44,0.0
Terapia de amor intensiva,122,53,49,51,7.55,3.77
Los languidecientes,81,46,43,46,6.52,0.0
