,Un misil en mi placard,Te hacen falta vitaminas,Mi novia tiene biceps,Trátame suavemente,Disco Eterno,Ni un segundo,Afrodisíacos,Dietético,El tiempo es dinero,Por qué no puedo ser del jet set?,Cuando pase el temblor,Nada personal,Juegos de seducción,Imágenes retro,Danza rota,Estoy azulado,Observándonos,Ecos,Si no fuera por,Sin sobresaltos,En camino,Final caja negra,Prófugos,Persiana americana,Signos,El rito,No existes,Día común,En la ciudad de la furia,Lo que sangra,Corazón delator,Sobredosis de TV,En el borde,Picnic en el 4to B,El ritmo de tus ojos,Terapia de amor intensiva,Los languidecientes
Un misil en mi placard,1.0000000000000002,0.0,0.24459755037168163,0.0,0.26152882291308993,0.19479760374073637,0.0,0.0,0.0,0.1699136352671586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1853942996433241,0.0,0.0,0.0,0.11942620464622922,0.0,0.10592035692274283,0.0,0.0,0.11675886067076562,0.0,0.0,0.0,0.0,0.0,0.0
Te hacen falta vitaminas,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.2676748219328858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1800684830009025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17197209896313717,0.0,0.2906955277482278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mi novia tiene biceps,0.24459755037168163,0.0,1.0000000000000002,0.21283242203646277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3889212489959562,0.0,0.0,0.336171390571592,0.0,0.0,0.0,0.11943819818154576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12943153064604315,0.0,0.0,0.0,0.0,0.0,0.0
Trátame suavemente,0.0,0.0,0.21283242203646277,1.0,0.0,0.0,0.0,0.0,0.0,0.2965865435344174,0.3361898305308533,0.0,0.1505930225119019,0.0,0.0,0.0,0.31263601856085177,0.0,0.0,0.0,0.0,0.0,0.0,0.1528750980225077,0.0,0.0,0.0,0.0,0.33475159048881636,0.25153642936541953,0.0,0.0,0.0,0.0,0.2813484534292915,0.0,0.0
Disco Eterno,0.26152882291308993,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.23861005529684612,0.0,0.0,0.0,0.0,0.2765855336556622,0.0,0.0,0.1839642710851227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2299303388759175,0.0,0.0,0.0
Ni un segundo,0.19479760374073637,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3197995581253906,0.0,0.0,0.16217950025623282,0.0,0.0,0.0,0.16017322893856775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2118523357554664,0.0,0.0,0.0,0.0,0.0,0.35968825458261683,0.12212776498687243,0.0,0.0,0.0,0.0,0.0,0.20083626305700092
Afrodisíacos,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.17428269982318284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2176534946329881,0.0,0.0,0.0,0.0,0.0,0.0,0.28569140511140334,0.0,0.33558918162738194,0.33242355669945906,0.0,0.0,0.0,0.11516675521881496,0.17976073665933212,0.0
Dietético,0.0,0.2676748219328858,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.15028750732479704,0.0,0.0,0.2472723336629797,0.0,0.0,0.2120278330541813,0.11240383962640453,0.0,0.0,0.0,0.09529884873067268,0.0,0.1708962004417319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20444287977742048,0.0,0.0,0.3477431056387951,0.0
El tiempo es dinero,0.0,0.0,0.0,0.0,0.0,0.3197995581253906,0.0,0.0,1.0,0.10146872971144384,0.16806082248736567,0.0,0.0,0.14566309807900554,0.0,0.22226925013788387,0.0,0.08184113631333635,0.1709273438163269,0.0,0.0,0.0,0.2677771130342183,0.0,0.0,0.07131873354753666,0.0,0.14679630804516458,0.0,0.3276385306644929,0.0,0.14521275170332634,0.0,0.0,0.08410455623244728,0.0,0.2832582736165144
Por qué no puedo ser del jet set?,0.1699136352671586,0.0,0.0,0.2965865435344174,0.23861005529684612,0.0,0.0,0.15028750732479704,0.10146872971144384,1.0000000000000002,0.18488667939580422,0.0,0.22565254948312327,0.0,0.0,0.0,0.07177843205299685,0.2456744176905259,0.0,0.0,0.06085558964069898,0.0,0.1091302695022942,0.0,0.0,0.21408779403594,0.0,0.0,0.0,0.0,0.0,0.4359061936697502,0.13055238507506822,0.0,0.0,0.222060518243444,0.0
