documento,cluster,album,año
Un misil en mi placard,2,N/A,1984
Te hacen falta vitaminas,0,N/A,1984
Mi novia tiene biceps,0,N/A,1984
Trátame suavemente,0,N/A,1984
Disco Eterno,0,N/A,1984
Ni un segundo,2,N/A,1984
Afrodisíacos,1,N/A,1984
Dietético,1,N/A,1984
El tiempo es dinero,2,N/A,1984
Por qué no puedo ser del jet set?,1,N/A,1984
Cuando pase el temblor,0,N/A,1985
Nada personal,2,N/A,1985
Juegos de seducción,1,N/A,1985
Imágenes retro,0,N/A,1985
Danza rota,1,N/A,1985
Estoy azulado,2,N/A,1985
Observándonos,1,N/A,1985
Ecos,0,N/A,1985
Si no fuera por,0,N/A,1985
Sin sobresaltos,0,N/A,1986
En camino,1,N/A,1986
Final caja negra,1,N/A,1986
Prófugos,1,N/A,1986
Persiana americana,2,N/A,1986
Signos,0,N/A,1986
El rito,0,N/A,1986
No existes,0,N/A,1986
Día común,0,N/A,1988
En la ciudad de la furia,0,N/A,1988
Lo que sangra,2,N/A,1988
Corazón delator,1,N/A,1988
Sobredosis de TV,0,N/A,1988
En el borde,1,N/A,1988
Picnic en el 4to B,0,N/A,1988
El ritmo de tus ojos,1,N/A,1988
Terapia de amor intensiva,1,N/A,1988
Los languidecientes,2,N/A,1988
